#,SKU Code,SKU Name (original),Folder Name,Brand,Manufacturer,Pack,MRP,Image Count
56,8fa482f5-c147-43b6-bd10-7ab3d58580d0,"Priya Mango Thokku Pickle, 300 Gm","Priya Mango Thokku Pickle, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
57,bcf40caf-cfa1-48bb-a39f-5c1cb7be432e,"Priya Mango Thokku Pickle, 40 Gm","Priya Mango Thokku Pickle, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
58,5aa6c4a2-3be0-4ef2-a8e9-c7471d85f3fb,"Priya Papad Masala Appalam, 100 Gm","Priya Papad Masala Appalam, 100 Gm",Priya,Ushodaya Enterprises Private Limited,100 Gram,35,0
59,1ee9038f-4c7d-4467-b833-3e166715f78f,"Priya Meat Masala, 8 Gm","Priya Meat Masala, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
60,3cf51fd9-0936-448e-bfab-361ff7fedbe4,"Priya Mixed Vegetable Pickle, 300 Gm","Priya Mixed Vegetable Pickle, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
61,ec467295-175c-4df0-8297-0bd8fdd56a13,"Priya Mixed Vegetable Pickle, 40 Gm","Priya Mixed Vegetable Pickle, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
62,dfa82a68-9dfc-45f8-a491-845c33fa5354,"Priya Non Veg Curry Masala Paste, 25 Gm","Priya Non Veg Curry Masala Paste, 25 Gm",Priya,Ushodaya Enterprises Private Limited,25 Gram,10,0
63,06d43ab7-da10-41d1-a300-e5a859bf54cd,"Priya Non Veg Curry Masala Paste, 90 Gm","Priya Non Veg Curry Masala Paste, 90 Gm",Priya,Ushodaya Enterprises Private Limited,90 Gram,31,0
64,7480f265-4415-4572-b6dc-545eef0e4d68,"Ramya Mango Avkaya Pickle, 1 Kg","Ramya Mango Avkaya Pickle, 1 Kg",Priya,Ushodaya Enterprises Private Limited,1 Kilogram,141,0
65,82243f28-6e75-4d95-9f83-1c3c68a194e4,"Ramya Mango Avkaya Pickle, 500 Gm","Ramya Mango Avkaya Pickle, 500 Gm",Priya,Ushodaya Enterprises Private Limited,500 Gram,75,0
66,0c8d25f0-26f5-4844-8495-7243de84b9a8,"Ramya Tomato Pickle, 1 Kg","Ramya Tomato Pickle, 1 Kg",Priya,Ushodaya Enterprises Private Limited,1 Kilogram,141,0
67,e19e3aa9-31f9-48ae-b365-d2f2ce2c7be5,"Ramya Tomato Pickle, 500 Gm","Ramya Tomato Pickle, 500 Gm",Priya,Ushodaya Enterprises Private Limited,500 Gram,75,0
68,f8490a31-63d2-43a3-864a-09d3891eed24,"Priya Premium Rasam Powder, 8 Gm","Priya Premium Rasam Powder, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
69,42c0b76a-0471-41d7-b6ad-06056dfd6620,"Priya Red Chilli Pickle, 300 Gm","Priya Red Chilli Pickle, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
70,65a91e50-9679-494e-8944-eb35d8d5f811,"Priya Red Chilli Pickle, 40 Gm","Priya Red Chilli Pickle, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
71,0a0cf7c6-833a-47b9-8759-183d0a0031b9,"Priya Premium Sambar Powder, 8 Gm","Priya Premium Sambar Powder, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
72,5d1fd8fe-b80f-4541-82b6-be2cd8f25fbe,"Priya Tamarind Paste, 100 Gm","Priya Tamarind Paste, 100 Gm",Priya,Ushodaya Enterprises Private Limited,100 Gram,28,0
73,d63ae502-8a66-4543-99b5-d4f39e27680c,"Priya Tomato Pickle, 40 Gm","Priya Tomato Pickle, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
74,8f5881a7-eb59-4448-8da6-b93ae89bce06,"Priya Tomato Pickle, 300 Gm","Priya Tomato Pickle, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
75,d4ed5b4d-9ac9-4553-a397-cfbdff410fd9,"Priya Turmeric (Haldi) Powder, 20 Gm","Priya Turmeric (Haldi) Powder, 20 Gm",Priya,Ushodaya Enterprises Private Limited,20 Gram,5,0
76,61c7f692-e3e9-469d-866a-564a6645a71e,"Priya Turmeric (Haldi) Powder, 100 Gm","Priya Turmeric (Haldi) Powder, 100 Gm",Priya,Ushodaya Enterprises Private Limited,100 Gram,34,0
77,9a08b3cf-9cd7-464f-9a09-5d102fdda112,"Priya Turmeric (Haldi) Powder, 50 Gm","Priya Turmeric (Haldi) Powder, 50 Gm",Priya,Ushodaya Enterprises Private Limited,50 Gram,20,0
78,fe0392b6-0c87-4c61-8a91-aa31dfc81481,"Priya Turmeric (Haldi) Powder, 200 Gm","Priya Turmeric (Haldi) Powder, 200 Gm",Priya,Ushodaya Enterprises Private Limited,200 Gram,60,0
79,dfcfa4b6-c668-4f2e-8018-0265210ca7c6,"Priya Turmeric (Haldi) Powder, 500 Gm","Priya Turmeric (Haldi) Powder, 500 Gm",Priya,Ushodaya Enterprises Private Limited,500 Gram,170,0
80,12c50016-4627-4be5-9b2f-4cee47a22ce3,"Priya Urad Dal Papad - Plain, 100 Gm","Priya Urad Dal Papad - Plain, 100 Gm",Priya,Ushodaya Enterprises Private Limited,100 Gram,30,0
81,00e8c52e-5946-4cde-ae3f-d3b7142de24a,"Grb Buffelo Ghee, 500 Ml","Grb Buffelo Ghee, 500 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,500 Milliliter,449,0
82,17cd7147-3a43-4758-bea2-511c1cf85138,"Grb Buffelo Ghee, 1 L","Grb Buffelo Ghee, 1 L",Grb,GRB DAIRY FOODS PVT.LTD.,1 Liter,939,0
83,d6ee9fd9-1895-4c72-8838-040abd4c11e2,"Grb Buffelo Ghee, 1 L","Grb Buffelo Ghee, 1 L (d6ee9fd9)",Grb,GRB DAIRY FOODS PVT.LTD.,1 Liter,939,0
84,f4429dc4-e93a-4a16-99b1-608571492108,"Grb Buffelo Ghee, 10 Ml","Grb Buffelo Ghee, 10 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,10 Milliliter,10,0
85,b53ffd5d-0a2f-4eac-b631-7a5c50d8e113,"Grb Buffelo Ghee, 100 Ml","Grb Buffelo Ghee, 100 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,100 Milliliter,113,0
86,b6c49461-0284-4274-9ee6-c72bc777ed3a,"Grb Buffelo Ghee, 20 Ml","Grb Buffelo Ghee, 20 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,20 Milliliter,20,0
87,f964229a-a33d-427c-a520-3b14f0e1aec0,"Grb Buffelo Ghee, 200 Ml","Grb Buffelo Ghee, 200 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,200 Milliliter,200,0
88,d6921ed9-8d39-475e-8af5-0f35623d2710,"Grb Buffelo Ghee, 50 Ml","Grb Buffelo Ghee, 50 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,50 Milliliter,59,0
89,aa7dead4-f7fd-4080-9a92-3f76f9b0327a,"Grb Buffelo Ghee, 500 Ml","Grb Buffelo Ghee, 500 Ml (aa7dead4)",Grb,GRB DAIRY FOODS PVT.LTD.,500 Milliliter,449,0
90,8e7bf8cd-4ef3-40ea-a565-d72856e4d5c2,"Grb Buffelo Ghee, 500 Ml","Grb Buffelo Ghee, 500 Ml (8e7bf8cd)",Grb,GRB DAIRY FOODS PVT.LTD.,500 Milliliter,449,0
